user_id,order_id,action,time
1,1,create_order,2022-08-24T01:52:21
2,2,create_order,2022-08-24T06:37:57
3,3,create_order,2022-08-24T07:35:28
4,4,create_order,2022-08-24T10:39:41
5,5,create_order,2022-08-24T12:34:44
6,6,create_order,2022-08-24T13:46:42
7,7,create_order,2022-08-24T13:59:34
7,7,cancel_order,2022-08-24T14:06:47.694
8,8,create_order,2022-08-24T14:03:43
9,9,create_order,2022-08-24T14:45:26
10,10,create_order,2022-08-24T15:09:09
11,11,create_order,2022-08-24T15:54:10
12,12,create_order,2022-08-24T16:22:34
13,13,cancel_order,2022-08-24T16:45:31.505
13,13,create_order,2022-08-24T16:39:58
14,14,create_order,2022-08-24T17:16:03
15,15,create_order,2022-08-24T17:17:44
16,16,create_order,2022-08-24T17:31:48
17,17,create_order,2022-08-24T17:32:08
18,18,create_order,2022-08-24T17:38:38
19,19,create_order,2022-08-24T17:42:12
20,20,create_order,2022-08-24T17:48:02
21,21,create_order,2022-08-24T17:57:38
22,22,create_order,2022-08-24T18:05:42
23,23,create_order,2022-08-24T18:13:12
24,24,create_order,2022-08-24T18:20:09
25,25,create_order,2022-08-24T18:38:24
26,26,create_order,2022-08-24T18:42:48
27,27,create_order,2022-08-24T18:46:23
28,28,create_order,2022-08-24T18:50:12
29,29,create_order,2022-08-24T18:55:42
30,30,create_order,2022-08-24T18:57:43
31,31,create_order,2022-08-24T18:58:14
32,32,create_order,2022-08-24T18:59:21
33,33,create_order,2022-08-24T19:02:03
34,34,create_order,2022-08-24T19:04:17
35,35,create_order,2022-08-24T19:05:59
36,36,create_order,2022-08-24T19:12:42
37,37,create_order,2022-08-24T19:15:12
38,38,create_order,2022-08-24T19:17:10
39,39,create_order,2022-08-24T19:17:45
40,40,create_order,2022-08-24T19:19:39
40,40,cancel_order,2022-08-24T19:25:35.578
41,41,create_order,2022-08-24T19:25:02
42,42,create_order,2022-08-24T19:25:37
43,43,create_order,2022-08-24T19:29:11
45,44,create_order,2022-08-24T19:35:37
44,45,create_order,2022-08-24T19:35:37
46,46,create_order,2022-08-24T19:37:49
47,47,create_order,2022-08-24T19:44:54
48,48,create_order,2022-08-24T19:50:13
49,49,create_order,2022-08-24T19:56:02
50,50,create_order,2022-08-24T20:04:46
51,51,create_order,2022-08-24T20:06:28
52,52,create_order,2022-08-24T20:08:41
52,52,cancel_order,2022-08-24T20:15:40.754
53,53,create_order,2022-08-24T20:08:46
54,54,create_order,2022-08-24T20:08:49
55,55,create_order,2022-08-24T20:14:32
56,56,create_order,2022-08-24T20:16:15
57,57,create_order,2022-08-24T20:23:51
58,58,create_order,2022-08-24T20:25:28
59,59,create_order,2022-08-24T20:27:27
60,60,create_order,2022-08-24T20:30:02
61,61,create_order,2022-08-24T20:30:09
62,62,create_order,2022-08-24T20:32:37
63,63,create_order,2022-08-24T20:34:37
64,64,create_order,2022-08-24T20:34:43
64,64,cancel_order,2022-08-24T20:39:33.693
65,65,create_order,2022-08-24T20:41:36
66,66,create_order,2022-08-24T20:47:06
67,67,create_order,2022-08-24T20:55:55
68,68,create_order,2022-08-24T20:58:15
69,69,create_order,2022-08-24T20:58:23
70,70,create_order,2022-08-24T20:59:50
71,71,create_order,2022-08-24T21:00:08
